Rank,Title,Score,Type,Episodes,Aired_Date,Members
910,Love Live! Superstar!! 3rd Season,7.90,TV,12,Oct 2024 - Dec 2024,"22,932 members"
911,Meitantei Conan Movie 27: 100-man Dollar no Michishirube,7.91,Movie,1,Apr 2024 - Apr 2024,"14,818 members"
912,Nekomonogatari: Kuro,7.91,TV Special,4,Dec 2012 - Dec 2012,"595,139 members"
913,Ojamajo Doremi Na-i-sho,7.91,OVA,13,Jun 2004 - Dec 2004,"13,409 members"
914,One Piece Film: Strong World Episode 0,7.91,OVA,1,Apr 2010 - Apr 2010,"93,307 members"
915,Phantom: Requiem for the Phantom,7.91,TV,26,Apr 2009 - Sep 2009,"360,228 members"
916,Tamako Love Story,7.91,Movie,1,Apr 2014 - Apr 2014,"434,080 members"
917,Usagi Drop Specials,7.91,Special,4,Oct 2011 - Jan 2012,"75,485 members"
918,Wotaku ni Koi wa Muzukashii,7.91,TV,11,Apr 2018 - Jun 2018,"1,118,465 members"
919,Xingchen Bian 6th Season,7.91,ONA,28,Jan 2025 - Jul 2025,"1,740 members"
920,Yakitate!! Japan,7.91,TV,69,Oct 2004 - Mar 2006,"105,952 members"
921,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,7.91,TV,13,Jan 2024 - Mar 2024,"558,853 members"
922,Yuru Yuri San☆Hai!,7.91,TV,12,Oct 2015 - Dec 2015,"134,523 members"
923,Akage no Anne,7.90,TV,50,Jan 1979 - Dec 1979,"53,047 members"
924,Atarashii Joushi wa Do Tennen,7.90,TV,12,Oct 2023 - Dec 2023,"75,063 members"
925,Chiikawa Movie: Ningyo no Shima no Himitsu,7.90,Movie,1,Jul 2026 - Jul 2026,"3,459 members"
926,Cike Wu Liuqi,7.90,ONA,10,Apr 2018 - Jun 2018,"144,141 members"
927,Date A Live II: Kurumi Star Festival,7.90,OVA,1,Dec 2014 - Dec 2014,"202,870 members"
928,Doraemon (1979),7.90,TV,1787,Apr 1979 - Mar 2005,"73,228 members"
