Rank,Title,Score,Type,Episodes,Aired_Date,Members
1518,Kore Kaite Shine,7.68,TV,12,Jul 2026 - Sep 2026,"18,464 members"
1519,Koutetsujou no Kabaneri Movie 3: Unato Kessen,7.68,Movie,1,May 2019 - May 2019,"153,714 members"
1520,Kun Tun Tianxia Zhi Zhang Men Guilai,7.68,ONA,12,May 2025 - Jul 2025,"32,826 members"
1521,Love Live! Superstar!! 2nd Season,7.68,TV,12,Jul 2022 - Oct 2022,"39,406 members"
1522,Meitantei Conan Movie 21: Karakurenai no Love Letter,7.68,Movie,1,Apr 2017 - Apr 2017,"36,590 members"
1523,Migi to Dali,7.68,TV,13,Oct 2023 - Dec 2023,"109,212 members"
1524,Monsters: Ippyaku Sanjou Hiryuu Jigoku,7.68,ONA,1,Jan 2024 - Jan 2024,"52,680 members"
1525,Nurarihyon no Mago OVA,7.68,OVA,2,Dec 2012 - Mar 2013,"26,918 members"
1526,Pokemon Movie 01: Mewtwo no Gyakushuu,7.68,Movie,1,Jul 1998 - Jul 1998,"287,634 members"
1527,Shingeki no Kyojin Season 3 Specials,7.68,Special,7,Oct 2018 - Sep 2019,"44,950 members"
1528,Space Cobra,7.68,TV,31,Oct 1982 - May 1983,"28,433 members"
1529,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.68,TV,6,Nov 2017 - Jan 2018,"45,344 members"
1530,Zhen Hun Jie 4th Season,7.68,ONA,26,Nov 2024 - May 2025,"2,362 members"
1531,3D Kanojo: Real Girl 2nd Season,7.67,TV,12,Jan 2019 - Mar 2019,"211,513 members"
1532,Bai Yao Pu: Si Fu Pian,7.67,ONA,12,Feb 2024 - May 2024,"2,984 members"
1533,Break Blade Movie 6: Doukoku no Toride,7.67,Movie,1,Mar 2011 - Mar 2011,"57,103 members"
1534,Cang Yuan Tu: Dongning Fu Fanwai Pian,7.67,ONA,4,Jul 2024 - Aug 2024,"2,258 members"
1535,Doupo Cangqiong: Yuanqi,7.67,ONA,3,Jul 2022 - Jul 2022,"4,420 members"
1536,Evangelion Movie 3: Q,7.67,Movie,1,Nov 2012 - Nov 2012,"499,135 members"
1537,Free! Movie 2: Timeless Medley - Yakusoku,7.67,Movie,1,Jul 2017 - Jul 2017,"48,729 members"
1538,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7.67,TV,12,Jul 2015 - Sep 2015,"897,804 members"
1539,Ginga Tokkyuu Milky☆Subway Movie: Kakueki Teisha Gekijou Yuki,7.67,Movie,1,Feb 2026 - Feb 2026,"5,133 members"
1540,Ichigo Mashimaro Encore,7.67,OVA,2,Jan 2009 - Mar 2009,"27,686 members"
1541,InuYasha Movie 2: Kagami no Naka no Mugenjou,7.67,Movie,1,Dec 2002 - Dec 2002,"112,291 members"
1542,Jishou Akuyaku Reijou na Konyakusha no Kansatsu Kiroku.,7.67,TV,12,Apr 2026 - Jun 2026,"70,970 members"
1543,Junjou Romantica OVA,7.67,OVA,2,Dec 2012 - Dec 2015,"59,280 members"
1544,Karakai Jouzu no Takagi-san,7.67,TV,12,Jan 2018 - Mar 2018,"646,556 members"
1545,Kill la Kill Specials,7.67,Special,2,Sep 2014 - Sep 2014,"213,271 members"
1546,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,7.67,TV,12,Oct 2023 - Dec 2023,"349,230 members"
1547,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,7.67,Movie,1,Apr 2007 - Apr 2007,"54,805 members"
1548,Kui Cheng Shoufu Cong Youxi Kaishi,7.67,ONA,16,Feb 2024 - May 2024,"8,275 members"
1549,Princess Principal,7.67,TV,12,Jul 2017 - Sep 2017,"227,391 members"
1550,Seitokai Yakuindomo*,7.67,TV,13,Jan 2014 - Mar 2014,"274,155 members"
